X1	Y1	ProbId1	X2	Y2	ProbId2	X3	Y3	ProbId3	X4	Y4	ProbId4	X5	Y5	ProbId5	X6	Y6	ProbId6	X7	Y7	ProbId7	X8	Y8	ProbId8	
812.21	865.55	1	752.49	861.58	0.98052	1094.6	407.25	0.76694	836.56	209.58	0.99959	1164	276.57	1	1114.3	251.75	1	1226.5	329.41	1	1051.1	921.4	1
804	861.31	1	749.88	860.31	0.98052	1089	409.94	0.76694	829.47	209.85	0.99959	1169.4	280.29	1	1119	256.43	1	1230.8	333.17	1	1054.5	922.16	1
795.53	855.2	1	745.74	858.91	0.98052	1084.6	412.13	0.76694	823.72	210.13	0.99959	1173.6	282.9	1	1122	259.18	1	1232.3	334.77	1	1059.4	920.63	1
778.42	844.63	1	730.35	853.12	0.98052	1077.8	415.91	0.76694	813.32	213.1	0.99959	1181.9	289.05	1	1130.1	266.35	1	1240	345.9	1	1067	918.18	1
771.2	840.02	1	723.63	851.13	0.98052	1074.2	418.05	0.76694	808.39	214.45	0.99959	1185.6	292.27	1	1133.2	269.04	1	1243.1	349.51	1	1070	917	1
765.21	836.34	1	715.9	847.83	0.98052	1071.5	419.49	0.76694	803.45	215.87	0.99959	1190	295.69	1	1136.4	271.65	1	1246.3	353.13	1	1073.6	915.53	1
759.23	833.05	1	709.88	845.5	0.98052	1068.6	421.43	0.76694	798.81	217.07	0.99959	1194.3	298.67	1	1139.1	273.92	1	1247	355.9	1	1076.5	914	1
752.83	829.38	1	704.2	843.37	0.98052	1065.5	423.28	0.76694	794.6	217.9	0.99959	1196.8	301.84	1	1142	276.31	1	1251.1	364.39	1	1079.1	913.18	1
747.19	826.35	1	699.27	841.54	0.98052	1062.4	424.75	0.76694	791.54	219.02	0.99959	1200	306.22	1	1144.7	278.32	1	1255.7	371.14	1	1081.6	911.79	1
741.58	823.63	1	694.04	839.1	0.98052	1054.7	427.64	0.76694	787.85	222.12	0.99959	1204.1	310.36	1	1147.3	280.52	1	1259.1	376.1	1	1083.7	911.02	1
737.31	823.02	1	689.71	837.49	0.98052	1046	432.36	0.76694	783.15	226.3	0.99959	1206.7	313.2	1	1149.2	281.72	1	1262.9	380.85	1	1085.9	909.91	1
733.19	826.15	1	685.7	835.86	0.98052	1036.8	436.77	0.76694	777.18	230.35	0.99959	1210.1	317.16	1	1151	283.41	1	1266.5	384.68	1	1087.5	908.89	1
728.75	830.98	1	681.6	834.29	0.98052	1030.1	440.17	0.76694	772.13	233.51	0.99959	1216.6	323.71	1	1154	285.04	1	1269.8	388.62	1	1089.5	907.93	1
725.06	835.67	1	679.12	833.18	0.98052	1023.2	443.84	0.76694	768.08	235.92	0.99959	1223.6	329.18	1	1160.4	287.97	1	1270.4	390.3	1	1091.3	906.89	1
722.13	839.94	1	676.16	829.17	0.98052	1017.2	447.22	0.76694	764.83	238.11	0.99959	1229.1	333.35	1	1167.2	291.81	1	1274.8	400.14	1	1093	906.08	1
719.25	843.57	1	670.35	820.87	0.98052	1011.6	450.28	0.76694	760.63	240.52	0.99959	1234.5	337.66	1	1173.1	295.48	1	1279.2	407.23	1	1094.1	905.82	1
716.94	845.91	1	665.6	814.14	0.98052	1006.8	452.98	0.76694	757.66	242.64	0.99959	1238	341.6	1	1179.2	299.22	1	1282.4	412.95	1	1094.7	905.06	1
714.16	849.89	1	661.79	807.45	0.98052	1001.5	455.87	0.76694	752.05	245.59	0.99959	1241.5	346.33	1	1184	302.58	1	1283.7	417.07	1	1097.5	900.54	1
713.8	849.73	1	657.83	801.22	0.98052	997.74	458.04	0.76694	746.61	247.3	0.99959	1244.4	350.31	1	1190.1	306.07	1	1287	426.07	1	1099.8	896.04	1
711.21	853.02	1	655.51	796.42	0.98052	994.07	460.33	0.76694	743.04	248.6	0.99959	1247.4	353.87	1	1199.3	310.54	1	1289.2	433.45	1	1102.1	891.09	1
709.71	854.91	1	652.75	791.62	0.98052	990.32	462.3	0.76694	737.76	249.82	0.99959	1247.7	356.12	1	1207.4	315.87	1	1292.1	441.68	1	1104.7	886.52	1
705.69	855.88	1	649.98	786.82	0.98052	986.56	464.54	0.76694	733.84	250.67	0.99959	1250.8	364.26	1	1213.7	319.18	1	1294.5	446.55	1	1106.4	882.29	1
703.52	853.95	1	647.79	782.17	0.98052	983.68	466.44	0.76694	730.27	251.14	0.99959	1254	370.38	1	1217.7	325.77	1	1297.3	451.54	1	1107.9	878.78	1
700.92	850.9	1	645.73	778.4	0.98052	980.78	467.92	0.76694	726.26	252.1	0.99959	1258	376.21	1	1221.6	335.53	1	1299.3	455.43	1	1109.5	875.16	1
698.29	847.34	1	644	774.89	0.98052	978.34	469.21	0.76694	722.69	254.07	0.99959	1261.3	381	1	1225.8	345.17	1	1301.6	460.16	1	1110.7	872.06	1
695.19	844.14	1	641.75	770.76	0.98052	972.83	471.64	0.76694	717.73	255.11	0.99959	1265.4	385.63	1	1228.7	351.59	1	1303	463.59	1	1111.8	869.15	1
691.11	839.86	1	640.17	767.34	0.98052	968.12	471.31	0.76694	717.46	256.9	0.99959	1271.3	391.26	1	1231.5	356.61	1	1303.3	466.69	1	1113.1	866.15	1
687.39	834.74	1	638.91	764.83	0.98052	959.35	471.98	0.76694	715.55	258	0.99959	1273.9	396.28	1	1234.4	361.49	1	1305	473.34	1	1114.1	863.98	1
680.9	827.54	1	637.19	761.33	0.98052	954.96	472.33	0.76694	716.26	259.08	0.99959	1278.8	404.2	1	1236.5	365.24	1	1308.7	481.44	1	1114.8	860.85	1
674.67	817.7	1	636.03	758.73	0.98052	946.34	472.66	0.76694	716.77	256.38	0.99959	1282	409.48	1	1239.2	369.52	1	1310.9	485.64	1	1114.4	857.02	1
