,NUTS3,stateid,name,area,population_2020,gdpPop_2018,gdpPopEmployed_2018
0,DEF01,1,"Flensburg, Stadt",57.0,90164,89010.0,61110.0
1,DEF02,1,"Kiel, Landeshauptstadt",119.0,246794,247750.0,173430.0
2,DEF03,1,"Lübeck, Hansestadt",214.0,216530,216760.0,130810.0
3,DEF04,1,"Neumünster, Stadt",72.0,80196,79410.0,53420.0
4,DEF05,1,Dithmarschen,1428.0,133193,133330.0,61260.0
5,DEF06,1,Herzogtum Lauenburg,1263.0,198019,196670.0,70860.0
6,DEF07,1,Nordfriesland,2083.0,165951,165480.0,91430.0
7,DEF08,1,Ostholstein,1393.0,200539,200580.0,92070.0
8,DEF09,1,Pinneberg,664.0,316103,313530.0,131540.0
9,DEF0A,1,Plön,1083.0,128686,128740.0,44450.0
10,DEF0B,1,Rendsburg-Eckernförde,2189.0,274098,272900.0,120220.0
11,DEF0C,1,Schleswig-Flensburg,2071.0,201156,199760.0,85090.0
12,DEF0D,1,Segeberg,1344.0,277175,275030.0,127020.0
13,DEF0E,1,Steinburg,1056.0,131013,131480.0,56840.0
14,DEF0F,1,Stormarn,766.0,244156,242830.0,117750.0
15,DE600,2,"Hamburg, Freie und Hansestadt",755.0,1847253,1835890.0,1274270.0
16,DE911,3,"Braunschweig, Stadt",192.0,249406,248160.0,168110.0
17,DE912,3,"Salzgitter, Stadt",224.0,104291,104750.0,57740.0
18,DE913,3,"Wolfsburg, Stadt",204.0,124371,124030.0,131640.0
19,DE914,3,Gifhorn,1563.0,176523,175500.0,59380.0
20,DE916,3,Goslar,965.0,136292,137290.0,63050.0
21,DE917,3,Helmstedt,674.0,91297,91510.0,30510.0
22,DE918,3,Northeim,1267.0,132285,132910.0,62060.0
23,DE91A,3,Peine,535.0,134801,133670.0,46080.0
24,DE91B,3,Wolfenbüttel,723.0,119622,120200.0,37440.0
25,DE91C,3,Göttingen,1755.35,326041,328060.0,176980.0
26,DE929,3,Region Hannover,2291.0,1157115,1155150.0,689290.0
27,DE922,3,Diepholz,1988.0,217089,216450.0,102360.0
28,DE923,3,Hameln-Pyrmont,796.0,148549,148430.0,71230.0
29,DE925,3,Hildesheim,1206.0,275817,276620.0,129560.0
30,DE926,3,Holzminden,692.0,70458,71060.0,31220.0
31,DE927,3,Nienburg (Weser),1399.0,121390,121430.0,57820.0
32,DE928,3,Schaumburg,676.0,157820,157830.0,65370.0
33,DE931,3,Celle,1545.0,179011,178850.0,82470.0
34,DE932,3,Cuxhaven,2058.0,198038,198160.0,73980.0
35,DE933,3,Harburg,1245.0,254431,252140.0,98140.0
36,DE934,3,Lüchow-Dannenberg,1221.0,48412,48390.0,21220.0
37,DE935,3,Lüneburg,1324.0,184139,183150.0,85180.0
38,DE936,3,Osterholz,651.0,113928,113310.0,40170.0
39,DE937,3,Rotenburg (Wümme),2070.0,163782,163420.0,82230.0
40,DE938,3,Heidekreis,1874.0,140673,139430.0,72250.0
41,DE939,3,Stade,1266.0,204512,202500.0,90680.0
42,DE93A,3,Uelzen,1454.0,92389,92660.0,42060.0
43,DE93B,3,Verden,788.0,137133,136690.0,64340.0
44,DE941,3,"Delmenhorst, Stadt",62.0,77559,77560.0,32810.0
45,DE942,3,"Emden, Stadt",112.0,49913,50400.0,42600.0
46,DE943,3,"Oldenburg (Oldenburg), Stadt",103.0,169077,167650.0,117480.0
47,DE944,3,"Osnabrück, Stadt",120.0,165251,164560.0,129210.0
48,DE945,3,"Wilhelmshaven, Stadt",107.0,76089,76300.0,46090.0
49,DE946,3,Ammerland,728.0,124859,123720.0,61130.0
50,DE947,3,Aurich,1287.0,189694,189900.0,86160.0
51,DE948,3,Cloppenburg,1418.0,170682,168640.0,93850.0
52,DE949,3,Emsland,2882.0,326954,324650.0,190930.0
53,DE94A,3,Friesland,608.0,98704,98490.0,43260.0
54,DE94B,3,Grafschaft Bentheim,981.0,137162,136190.0,72030.0
55,DE94C,3,Leer,1086.0,170756,169380.0,71980.0
56,DE94D,3,Oldenburg,1063.0,130890,130030.0,52820.0
57,DE94E,3,Osnabrück,2122.0,358080,356740.0,175770.0
58,DE94F,3,Vechta,813.0,142814,141070.0,97500.0
59,DE94G,3,Wesermarsch,822.0,88583,88820.0,40440.0
60,DE94H,3,Wittmund,657.0,56926,56810.0,24880.0
61,DE501,4,"Bremen, Stadt",325.0,567559,568680.0,372040.0
62,DE502,4,"Bremerhaven, Stadt",94.0,113643,113330.0,64030.0
63,DEA11,5,"Düsseldorf, Stadt",217.0,621877,618290.0,542680.0
64,DEA12,5,"Duisburg, Stadt",233.0,498686,498350.0,232760.0
65,DEA13,5,"Essen, Stadt",210.0,582760,583250.0,336970.0
66,DEA14,5,"Krefeld, Stadt",138.0,227417,226860.0,124090.0
67,DEA15,5,"Mönchengladbach, Stadt",170.0,261034,261820.0,137230.0
68,DEA16,5,"Mülheim an der Ruhr, Stadt",91.0,170632,171070.0,81130.0
69,DEA17,5,"Oberhausen, Stadt",77.0,210764,211130.0,92690.0
70,DEA18,5,"Remscheid, Stadt",75.0,111338,110790.0,60740.0
71,DEA19,5,"Solingen, Klingenstadt",90.0,159245,159080.0,73990.0
72,DEA1A,5,"Wuppertal, Stadt",168.0,355100,353990.0,175240.0
73,DEA1B,5,Kleve,1233.0,312465,311120.0,149850.0
