,NUTS1,name,date,week,mobility_change,mobility_change_7day_average,mobility_change_weekly
29,DE1,Baden-Württemberg,2020-03-01,9,0.023,0.0206,-0.0283
30,DE1,Baden-Württemberg,2020-03-02,10,0.0568,0.0341,0.0484
31,DE1,Baden-Württemberg,2020-03-03,10,0.0538,0.0411,0.0484
32,DE1,Baden-Württemberg,2020-03-04,10,0.0566,0.0418,0.0484
33,DE1,Baden-Württemberg,2020-03-05,10,0.0347,0.0497,0.0484
34,DE1,Baden-Württemberg,2020-03-06,10,0.041,0.0541,0.0484
35,DE1,Baden-Württemberg,2020-03-07,10,0.0264,0.0479,0.0484
36,DE1,Baden-Württemberg,2020-03-08,10,0.0785,0.0453,0.0484
37,DE1,Baden-Württemberg,2020-03-09,11,0.0876,0.0459,0.0185
38,DE1,Baden-Württemberg,2020-03-10,11,0.0105,0.0454,0.0185
39,DE1,Baden-Württemberg,2020-03-11,11,0.0382,0.0294,0.0185
40,DE1,Baden-Württemberg,2020-03-12,11,0.0391,0.0143,0.0185
41,DE1,Baden-Württemberg,2020-03-13,11,0.0379,0.0043,0.0185
42,DE1,Baden-Württemberg,2020-03-14,11,-0.0862,-0.0186,0.0185
43,DE1,Baden-Württemberg,2020-03-15,11,-0.027,-0.05,0.0185
44,DE1,Baden-Württemberg,2020-03-16,12,0.0176,-0.0874,-0.2311
45,DE1,Baden-Württemberg,2020-03-17,12,-0.1496,-0.1301,-0.2311
46,DE1,Baden-Württemberg,2020-03-18,12,-0.1815,-0.1871,-0.2311
47,DE1,Baden-Württemberg,2020-03-19,12,-0.2227,-0.245,-0.2311
48,DE1,Baden-Württemberg,2020-03-20,12,-0.2611,-0.2931,-0.2311
49,DE1,Baden-Württemberg,2020-03-21,12,-0.4855,-0.3208,-0.2311
50,DE1,Baden-Württemberg,2020-03-22,12,-0.4322,-0.3456,-0.2311
51,DE1,Baden-Württemberg,2020-03-23,13,-0.3188,-0.3644,-0.3609
52,DE1,Baden-Württemberg,2020-03-24,13,-0.3435,-0.3744,-0.3609
53,DE1,Baden-Württemberg,2020-03-25,13,-0.3555,-0.353,-0.3609
54,DE1,Baden-Württemberg,2020-03-26,13,-0.3541,-0.3707,-0.3609
55,DE1,Baden-Württemberg,2020-03-27,13,-0.3312,-0.3688,-0.3609
56,DE1,Baden-Württemberg,2020-03-28,13,-0.336,-0.3653,-0.3609
57,DE1,Baden-Württemberg,2020-03-29,13,-0.556,-0.3564,-0.3609
58,DE1,Baden-Württemberg,2020-03-30,14,-0.3057,-0.3459,-0.2892
59,DE1,Baden-Württemberg,2020-03-31,14,-0.3184,-0.3327,-0.2892
846,DE2,Bayern,2020-03-01,9,-0.0221,-0.0034,-0.0358
847,DE2,Bayern,2020-03-02,10,0.0304,0.0053,0.0109
848,DE2,Bayern,2020-03-03,10,0.015,0.0104,0.0109
849,DE2,Bayern,2020-03-04,10,0.0196,0.0041,0.0109
850,DE2,Bayern,2020-03-05,10,0.013,0.011,0.0109
851,DE2,Bayern,2020-03-06,10,0.0043,0.0116,0.0109
852,DE2,Bayern,2020-03-07,10,-0.0319,0.0065,0.0109
853,DE2,Bayern,2020-03-08,10,0.0262,0.0018,0.0109
854,DE2,Bayern,2020-03-09,11,0.0351,0.0007,-0.0265
855,DE2,Bayern,2020-03-10,11,-0.0211,-0.0023,-0.0265
856,DE2,Bayern,2020-03-11,11,-0.0131,-0.0149,-0.0265
857,DE2,Bayern,2020-03-12,11,0.0056,-0.0311,-0.0265
858,DE2,Bayern,2020-03-13,11,-0.0167,-0.0466,-0.0265
859,DE2,Bayern,2020-03-14,11,-0.1204,-0.0708,-0.0265
860,DE2,Bayern,2020-03-15,11,-0.0868,-0.1023,-0.0265
861,DE2,Bayern,2020-03-16,12,-0.0734,-0.1407,-0.3061
862,DE2,Bayern,2020-03-17,12,-0.1908,-0.1778,-0.3061
863,DE2,Bayern,2020-03-18,12,-0.2335,-0.2519,-0.3061
864,DE2,Bayern,2020-03-19,12,-0.2635,-0.3261,-0.3061
865,DE2,Bayern,2020-03-20,12,-0.2762,-0.3726,-0.3061
866,DE2,Bayern,2020-03-21,12,-0.6392,-0.4047,-0.3061
867,DE2,Bayern,2020-03-22,12,-0.606,-0.4331,-0.3061
868,DE2,Bayern,2020-03-23,13,-0.3994,-0.458,-0.4462
869,DE2,Bayern,2020-03-24,13,-0.4155,-0.4787,-0.4462
870,DE2,Bayern,2020-03-25,13,-0.4318,-0.4527,-0.4462
871,DE2,Bayern,2020-03-26,13,-0.438,-0.4548,-0.4462
872,DE2,Bayern,2020-03-27,13,-0.4213,-0.4546,-0.4462
873,DE2,Bayern,2020-03-28,13,-0.4572,-0.4532,-0.4462
874,DE2,Bayern,2020-03-29,13,-0.6202,-0.4485,-0.4462
875,DE2,Bayern,2020-03-30,14,-0.398,-0.4393,-0.4006
876,DE2,Bayern,2020-03-31,14,-0.4062,-0.4279,-0.4006
1663,DE3,Berlin,2020-03-01,9,0.0345,0.0138,0.0523
1664,DE3,Berlin,2020-03-02,10,-0.031,0.0066,-0.0202
1665,DE3,Berlin,2020-03-03,10,-0.0533,-0.0016,-0.0202
1666,DE3,Berlin,2020-03-04,10,-0.0173,-0.0157,-0.0202
1667,DE3,Berlin,2020-03-05,10,-0.0124,-0.0191,-0.0202
1668,DE3,Berlin,2020-03-06,10,0.018,-0.0153,-0.0202
1669,DE3,Berlin,2020-03-07,10,-0.0485,-0.0178,-0.0202
1670,DE3,Berlin,2020-03-08,10,0.011,-0.0228,-0.0202
1671,DE3,Berlin,2020-03-09,11,-0.0044,-0.0294,-0.069
1672,DE3,Berlin,2020-03-10,11,-0.0708,-0.0364,-0.069
1673,DE3,Berlin,2020-03-11,11,-0.0524,-0.0479,-0.069
1674,DE3,Berlin,2020-03-12,11,-0.059,-0.0765,-0.069
1675,DE3,Berlin,2020-03-13,11,-0.031,-0.0937,-0.069
1676,DE3,Berlin,2020-03-14,11,-0.1285,-0.121,-0.069
1677,DE3,Berlin,2020-03-15,11,-0.1895,-0.1551,-0.069
1678,DE3,Berlin,2020-03-16,12,-0.1251,-0.1999,-0.3183
1679,DE3,Berlin,2020-03-17,12,-0.2617,-0.2488,-0.3183
1680,DE3,Berlin,2020-03-18,12,-0.2911,-0.2917,-0.3183
1681,DE3,Berlin,2020-03-19,12,-0.3724,-0.3261,-0.3183
1682,DE3,Berlin,2020-03-20,12,-0.3731,-0.3707,-0.3183
1683,DE3,Berlin,2020-03-21,12,-0.4288,-0.3986,-0.3183
1684,DE3,Berlin,2020-03-22,12,-0.4306,-0.4225,-0.3183
1685,DE3,Berlin,2020-03-23,13,-0.4371,-0.4336,-0.4527
1686,DE3,Berlin,2020-03-24,13,-0.4568,-0.4384,-0.4527
1687,DE3,Berlin,2020-03-25,13,-0.4584,-0.4365,-0.4527
1688,DE3,Berlin,2020-03-26,13,-0.4504,-0.4589,-0.4527
1689,DE3,Berlin,2020-03-27,13,-0.4063,-0.4633,-0.4527
1690,DE3,Berlin,2020-03-28,13,-0.4156,-0.4619,-0.4527
1691,DE3,Berlin,2020-03-29,13,-0.5878,-0.4572,-0.4527
1692,DE3,Berlin,2020-03-30,14,-0.4677,-0.4553,-0.4209
1693,DE3,Berlin,2020-03-31,14,-0.4471,-0.4513,-0.4209
2480,DE4,Brandenburg,2020-03-01,9,-0.0247,-0.0061,0.0092
2481,DE4,Brandenburg,2020-03-02,10,-0.0042,-0.0069,-0.0197
2482,DE4,Brandenburg,2020-03-03,10,-0.0322,-0.0155,-0.0197
2483,DE4,Brandenburg,2020-03-04,10,-0.0039,-0.0242,-0.0197
2484,DE4,Brandenburg,2020-03-05,10,-0.0037,-0.0191,-0.0197
2485,DE4,Brandenburg,2020-03-06,10,-0.0331,-0.0183,-0.0197
2486,DE4,Brandenburg,2020-03-07,10,-0.0673,-0.0184,-0.0197
2487,DE4,Brandenburg,2020-03-08,10,0.0109,-0.0202,-0.0197
2488,DE4,Brandenburg,2020-03-09,11,0.0015,-0.0238,-0.0362
2489,DE4,Brandenburg,2020-03-10,11,-0.0335,-0.025,-0.0362
2490,DE4,Brandenburg,2020-03-11,11,-0.0159,-0.0231,-0.0362
2491,DE4,Brandenburg,2020-03-12,11,-0.029,-0.0417,-0.0362
2492,DE4,Brandenburg,2020-03-13,11,-0.0417,-0.0469,-0.0362
2493,DE4,Brandenburg,2020-03-14,11,-0.0541,-0.054,-0.0362
2494,DE4,Brandenburg,2020-03-15,11,-0.1196,-0.0706,-0.0362
2495,DE4,Brandenburg,2020-03-16,12,-0.0349,-0.0963,-0.1932
2496,DE4,Brandenburg,2020-03-17,12,-0.0827,-0.131,-0.1932
2497,DE4,Brandenburg,2020-03-18,12,-0.1321,-0.1733,-0.1932
2498,DE4,Brandenburg,2020-03-19,12,-0.2093,-0.2068,-0.1932
2499,DE4,Brandenburg,2020-03-20,12,-0.2841,-0.2446,-0.1932
2500,DE4,Brandenburg,2020-03-21,12,-0.3502,-0.2791,-0.1932
2501,DE4,Brandenburg,2020-03-22,12,-0.3542,-0.3055,-0.1932
2502,DE4,Brandenburg,2020-03-23,13,-0.2997,-0.3203,-0.3366
2503,DE4,Brandenburg,2020-03-24,13,-0.3244,-0.3252,-0.3366
