,date,week,mobility_change,mobility_change_7day_average,mobility_change_weekly
29,2020-03-01,9,0.0005,-0.004,-0.0047
30,2020-03-02,10,0.018,0.0054,0.0095
31,2020-03-03,10,0.0071,0.009,0.0095
32,2020-03-04,10,0.0181,0.0125,0.0095
33,2020-03-05,10,0.0074,0.0143,0.0095
34,2020-03-06,10,-0.001,0.01,0.0095
35,2020-03-07,10,-0.0035,0.0067,0.0095
36,2020-03-08,10,0.0258,0.0103,0.0095
37,2020-03-09,11,0.0505,0.0149,-0.0221
38,2020-03-10,11,-0.0243,0.0104,-0.0221
39,2020-03-11,11,-0.0097,0.0065,-0.0221
40,2020-03-12,11,0.0006,0.0055,-0.0221
41,2020-03-13,11,-0.018,0.0031,-0.0221
42,2020-03-14,11,-0.0975,-0.0104,-0.0221
43,2020-03-15,11,-0.0934,-0.0274,-0.0221
44,2020-03-16,12,-0.066,-0.044,-0.268
45,2020-03-17,12,-0.178,-0.066,-0.268
46,2020-03-18,12,-0.2241,-0.0966,-0.268
47,2020-03-19,12,-0.2751,-0.136,-0.268
48,2020-03-20,12,-0.3179,-0.1789,-0.268
49,2020-03-21,12,-0.4594,-0.2306,-0.268
50,2020-03-22,12,-0.4416,-0.2803,-0.268
51,2020-03-23,13,-0.3502,-0.3209,-0.3904
52,2020-03-24,13,-0.3762,-0.3492,-0.3904
53,2020-03-25,13,-0.3806,-0.3716,-0.3904
54,2020-03-26,13,-0.3812,-0.3867,-0.3904
55,2020-03-27,13,-0.3712,-0.3944,-0.3904
56,2020-03-28,13,-0.3821,-0.3833,-0.3904
57,2020-03-29,13,-0.552,-0.3991,-0.3904
58,2020-03-30,14,-0.3553,-0.3998,-0.3387
59,2020-03-31,14,-0.3542,-0.3967,-0.3387
