,NUTS3,name,date,week,mobility_change,mobility_change_7day_average,mobility_change_weekly
29,DE111,"Stuttgart, Stadtkreis",2020-03-01,9,0.025,-0.009,-0.0522
30,DE111,"Stuttgart, Stadtkreis",2020-03-02,10,0.0059,0.0046,0.011
31,DE111,"Stuttgart, Stadtkreis",2020-03-03,10,0.0168,0.0112,0.011
32,DE111,"Stuttgart, Stadtkreis",2020-03-04,10,0.0211,0.0088,0.011
33,DE111,"Stuttgart, Stadtkreis",2020-03-05,10,0.0036,0.013,0.011
34,DE111,"Stuttgart, Stadtkreis",2020-03-06,10,0.0013,0.0239,0.011
35,DE111,"Stuttgart, Stadtkreis",2020-03-07,10,-0.0124,0.0156,0.011
36,DE111,"Stuttgart, Stadtkreis",2020-03-08,10,0.055,0.0114,0.011
37,DE111,"Stuttgart, Stadtkreis",2020-03-09,11,0.0816,0.0074,-0.0469
38,DE111,"Stuttgart, Stadtkreis",2020-03-10,11,-0.0409,0.0015,-0.0469
39,DE111,"Stuttgart, Stadtkreis",2020-03-11,11,-0.0084,-0.0262,-0.0469
40,DE111,"Stuttgart, Stadtkreis",2020-03-12,11,-0.0246,-0.0571,-0.0469
41,DE111,"Stuttgart, Stadtkreis",2020-03-13,11,-0.0398,-0.0831,-0.0469
42,DE111,"Stuttgart, Stadtkreis",2020-03-14,11,-0.2066,-0.1174,-0.0469
43,DE111,"Stuttgart, Stadtkreis",2020-03-15,11,-0.1614,-0.1611,-0.0469
44,DE111,"Stuttgart, Stadtkreis",2020-03-16,12,-0.1001,-0.2086,-0.3352
45,DE111,"Stuttgart, Stadtkreis",2020-03-17,12,-0.2811,-0.2565,-0.3352
46,DE111,"Stuttgart, Stadtkreis",2020-03-18,12,-0.3141,-0.3059,-0.3352
47,DE111,"Stuttgart, Stadtkreis",2020-03-19,12,-0.357,-0.3451,-0.3352
48,DE111,"Stuttgart, Stadtkreis",2020-03-20,12,-0.3752,-0.3933,-0.3352
49,DE111,"Stuttgart, Stadtkreis",2020-03-21,12,-0.5523,-0.4194,-0.3352
50,DE111,"Stuttgart, Stadtkreis",2020-03-22,12,-0.4358,-0.4427,-0.3352
51,DE111,"Stuttgart, Stadtkreis",2020-03-23,13,-0.4376,-0.46,-0.4675
52,DE111,"Stuttgart, Stadtkreis",2020-03-24,13,-0.4642,-0.4704,-0.4675
53,DE111,"Stuttgart, Stadtkreis",2020-03-25,13,-0.4766,-0.4521,-0.4675
54,DE111,"Stuttgart, Stadtkreis",2020-03-26,13,-0.4784,-0.4731,-0.4675
55,DE111,"Stuttgart, Stadtkreis",2020-03-27,13,-0.4477,-0.4711,-0.4675
56,DE111,"Stuttgart, Stadtkreis",2020-03-28,13,-0.4241,-0.4688,-0.4675
57,DE111,"Stuttgart, Stadtkreis",2020-03-29,13,-0.5833,-0.4613,-0.4675
58,DE111,"Stuttgart, Stadtkreis",2020-03-30,14,-0.4236,-0.4537,-0.4107
59,DE111,"Stuttgart, Stadtkreis",2020-03-31,14,-0.4475,-0.4431,-0.4107
846,DE112,Böblingen,2020-03-01,9,0.0731,0.0117,-0.0215
847,DE112,Böblingen,2020-03-02,10,0.0151,0.0282,0.051
848,DE112,Böblingen,2020-03-03,10,0.0233,0.0398,0.051
849,DE112,Böblingen,2020-03-04,10,0.0533,0.0489,0.051
850,DE112,Böblingen,2020-03-05,10,0.0398,0.0573,0.051
851,DE112,Böblingen,2020-03-06,10,0.0493,0.0657,0.051
852,DE112,Böblingen,2020-03-07,10,0.0881,0.0614,0.051
853,DE112,Böblingen,2020-03-08,10,0.1318,0.0566,0.051
854,DE112,Böblingen,2020-03-09,11,0.0744,0.0559,0.0177
855,DE112,Böblingen,2020-03-10,11,-0.0068,0.0538,0.0177
856,DE112,Böblingen,2020-03-11,11,0.0197,0.0331,0.0177
857,DE112,Böblingen,2020-03-12,11,0.0345,0.0145,0.0177
858,DE112,Böblingen,2020-03-13,11,0.0348,-0.0002,0.0177
859,DE112,Böblingen,2020-03-14,11,-0.0566,-0.028,0.0177
860,DE112,Böblingen,2020-03-15,11,0.0014,-0.0629,0.0177
861,DE112,Böblingen,2020-03-16,12,-0.0283,-0.1046,-0.2572
862,DE112,Böblingen,2020-03-17,12,-0.2012,-0.1533,-0.2572
863,DE112,Böblingen,2020-03-18,12,-0.2245,-0.2158,-0.2572
864,DE112,Böblingen,2020-03-19,12,-0.2578,-0.272,-0.2572
865,DE112,Böblingen,2020-03-20,12,-0.3059,-0.3258,-0.2572
866,DE112,Böblingen,2020-03-21,12,-0.4945,-0.3573,-0.2572
867,DE112,Böblingen,2020-03-22,12,-0.3918,-0.386,-0.2572
868,DE112,Böblingen,2020-03-23,13,-0.405,-0.4086,-0.4133
869,DE112,Böblingen,2020-03-24,13,-0.4212,-0.4203,-0.4133
870,DE112,Böblingen,2020-03-25,13,-0.4259,-0.3948,-0.4133
871,DE112,Böblingen,2020-03-26,13,-0.4159,-0.4211,-0.4133
872,DE112,Böblingen,2020-03-27,13,-0.3875,-0.4184,-0.4133
873,DE112,Böblingen,2020-03-28,13,-0.316,-0.4156,-0.4133
874,DE112,Böblingen,2020-03-29,13,-0.5764,-0.4048,-0.4133
875,DE112,Böblingen,2020-03-30,14,-0.3855,-0.3938,-0.3361
876,DE112,Böblingen,2020-03-31,14,-0.402,-0.3787,-0.3361
1663,DE113,Esslingen,2020-03-01,9,0.085,0.0314,-0.0106
1664,DE113,Esslingen,2020-03-02,10,0.0421,0.0454,0.0464
1665,DE113,Esslingen,2020-03-03,10,0.0434,0.0515,0.0464
1666,DE113,Esslingen,2020-03-04,10,0.0574,0.0469,0.0464
1667,DE113,Esslingen,2020-03-05,10,0.0406,0.0486,0.0464
1668,DE113,Esslingen,2020-03-06,10,0.0377,0.0542,0.0464
1669,DE113,Esslingen,2020-03-07,10,0.0219,0.0477,0.0464
1670,DE113,Esslingen,2020-03-08,10,0.0969,0.0441,0.0464
1671,DE113,Esslingen,2020-03-09,11,0.0812,0.0448,0.023
1672,DE113,Esslingen,2020-03-10,11,-0.0019,0.0454,0.023
1673,DE113,Esslingen,2020-03-11,11,0.032,0.0338,0.023
1674,DE113,Esslingen,2020-03-12,11,0.0459,0.0205,0.023
1675,DE113,Esslingen,2020-03-13,11,0.0416,0.0125,0.023
1676,DE113,Esslingen,2020-03-14,11,-0.0591,-0.0071,0.023
1677,DE113,Esslingen,2020-03-15,11,0.0038,-0.0343,0.023
1678,DE113,Esslingen,2020-03-16,12,0.0251,-0.0702,-0.2043
1679,DE113,Esslingen,2020-03-17,12,-0.139,-0.1095,-0.2043
1680,DE113,Esslingen,2020-03-18,12,-0.1584,-0.1652,-0.2043
1681,DE113,Esslingen,2020-03-19,12,-0.2056,-0.2146,-0.2043
1682,DE113,Esslingen,2020-03-20,12,-0.2332,-0.2612,-0.2043
1683,DE113,Esslingen,2020-03-21,12,-0.4491,-0.287,-0.2043
1684,DE113,Esslingen,2020-03-22,12,-0.3418,-0.3105,-0.2043
1685,DE113,Esslingen,2020-03-23,13,-0.3016,-0.3272,-0.3283
1686,DE113,Esslingen,2020-03-24,13,-0.3193,-0.3362,-0.3283
1687,DE113,Esslingen,2020-03-25,13,-0.323,-0.3109,-0.3283
1688,DE113,Esslingen,2020-03-26,13,-0.3224,-0.3376,-0.3283
1689,DE113,Esslingen,2020-03-27,13,-0.2963,-0.3333,-0.3283
1690,DE113,Esslingen,2020-03-28,13,-0.2722,-0.3295,-0.3283
1691,DE113,Esslingen,2020-03-29,13,-0.5283,-0.3182,-0.3283
1692,DE113,Esslingen,2020-03-30,14,-0.2714,-0.3076,-0.2485
1693,DE113,Esslingen,2020-03-31,14,-0.2926,-0.2951,-0.2485
2480,DE114,Göppingen,2020-03-01,9,0.037,0.0198,-0.0142
2481,DE114,Göppingen,2020-03-02,10,0.0685,0.0361,0.0564
2482,DE114,Göppingen,2020-03-03,10,0.0556,0.0465,0.0564
2483,DE114,Göppingen,2020-03-04,10,0.0449,0.0479,0.0564
2484,DE114,Göppingen,2020-03-05,10,0.0378,0.0591,0.0564
2485,DE114,Göppingen,2020-03-06,10,0.0548,0.0624,0.0564
2486,DE114,Göppingen,2020-03-07,10,0.0366,0.0566,0.0564
2487,DE114,Göppingen,2020-03-08,10,0.1154,0.0558,0.0564
2488,DE114,Göppingen,2020-03-09,11,0.0918,0.0589,0.0265
2489,DE114,Göppingen,2020-03-10,11,0.0145,0.0555,0.0265
2490,DE114,Göppingen,2020-03-11,11,0.0394,0.0408,0.0265
2491,DE114,Göppingen,2020-03-12,11,0.0598,0.0238,0.0265
2492,DE114,Göppingen,2020-03-13,11,0.0307,0.0181,0.0265
2493,DE114,Göppingen,2020-03-14,11,-0.0657,-0.004,0.0265
2494,DE114,Göppingen,2020-03-15,11,-0.0042,-0.0335,0.0265
2495,DE114,Göppingen,2020-03-16,12,0.0519,-0.068,-0.2006
2496,DE114,Göppingen,2020-03-17,12,-0.1399,-0.1041,-0.2006
2497,DE114,Göppingen,2020-03-18,12,-0.167,-0.158,-0.2006
2498,DE114,Göppingen,2020-03-19,12,-0.1818,-0.2117,-0.2006
2499,DE114,Göppingen,2020-03-20,12,-0.222,-0.2594,-0.2006
2500,DE114,Göppingen,2020-03-21,12,-0.4428,-0.2828,-0.2006
2501,DE114,Göppingen,2020-03-22,12,-0.3801,-0.3043,-0.2006
2502,DE114,Göppingen,2020-03-23,13,-0.2822,-0.3211,-0.3188
2503,DE114,Göppingen,2020-03-24,13,-0.3039,-0.3298,-0.3188
2504,DE114,Göppingen,2020-03-25,13,-0.3176,-0.3064,-0.3188
2505,DE114,Göppingen,2020-03-26,13,-0.2993,-0.3289,-0.3188
2506,DE114,Göppingen,2020-03-27,13,-0.2826,-0.324,-0.3188
2507,DE114,Göppingen,2020-03-28,13,-0.2791,-0.3202,-0.3188
2508,DE114,Göppingen,2020-03-29,13,-0.5375,-0.3092,-0.3188
2509,DE114,Göppingen,2020-03-30,14,-0.2482,-0.2973,-0.2315
2510,DE114,Göppingen,2020-03-31,14,-0.2771,-0.281,-0.2315
3297,DE115,Ludwigsburg,2020-03-01,9,0.047,0.0344,0.0064
3298,DE115,Ludwigsburg,2020-03-02,10,0.0375,0.048,0.0618
3299,DE115,Ludwigsburg,2020-03-03,10,0.0584,0.0529,0.0618
3300,DE115,Ludwigsburg,2020-03-04,10,0.0821,0.0559,0.0618
3301,DE115,Ludwigsburg,2020-03-05,10,0.0659,0.0636,0.0618
3302,DE115,Ludwigsburg,2020-03-06,10,0.0516,0.0742,0.0618
3303,DE115,Ludwigsburg,2020-03-07,10,0.0487,0.0693,0.0618
3304,DE115,Ludwigsburg,2020-03-08,10,0.1006,0.0641,0.0618
3305,DE115,Ludwigsburg,2020-03-09,11,0.1123,0.063,0.0403
3306,DE115,Ludwigsburg,2020-03-10,11,0.0242,0.0633,0.0403
3307,DE115,Ludwigsburg,2020-03-11,11,0.0452,0.0496,0.0403
3308,DE115,Ludwigsburg,2020-03-12,11,0.0586,0.0378,0.0403
3309,DE115,Ludwigsburg,2020-03-13,11,0.0536,0.0287,0.0403
3310,DE115,Ludwigsburg,2020-03-14,11,-0.0471,0.0085,0.0403
3311,DE115,Ludwigsburg,2020-03-15,11,0.0177,-0.018,0.0403
3312,DE115,Ludwigsburg,2020-03-16,12,0.0488,-0.0529,-0.193
3313,DE115,Ludwigsburg,2020-03-17,12,-0.1172,-0.0926,-0.193
3314,DE115,Ludwigsburg,2020-03-18,12,-0.1403,-0.152,-0.193
3315,DE115,Ludwigsburg,2020-03-19,12,-0.186,-0.2044,-0.193
3316,DE115,Ludwigsburg,2020-03-20,12,-0.2241,-0.2532,-0.193
3317,DE115,Ludwigsburg,2020-03-21,12,-0.463,-0.2809,-0.193
3318,DE115,Ludwigsburg,2020-03-22,12,-0.3487,-0.3071,-0.193
3319,DE115,Ludwigsburg,2020-03-23,13,-0.293,-0.3267,-0.3276
3320,DE115,Ludwigsburg,2020-03-24,13,-0.3114,-0.3379,-0.3276
3321,DE115,Ludwigsburg,2020-03-25,13,-0.3233,-0.3126,-0.3276
3322,DE115,Ludwigsburg,2020-03-26,13,-0.3236,-0.3373,-0.3276
3323,DE115,Ludwigsburg,2020-03-27,13,-0.3023,-0.3341,-0.3276
3324,DE115,Ludwigsburg,2020-03-28,13,-0.2863,-0.3322,-0.3276
3325,DE115,Ludwigsburg,2020-03-29,13,-0.5215,-0.322,-0.3276
3326,DE115,Ludwigsburg,2020-03-30,14,-0.2702,-0.3117,-0.2526
3327,DE115,Ludwigsburg,2020-03-31,14,-0.2986,-0.2973,-0.2526
4114,DE116,Rems-Murr-Kreis,2020-03-01,9,0.0407,0.032,-0.0129
4115,DE116,Rems-Murr-Kreis,2020-03-02,10,0.0644,0.0495,0.0689
4116,DE116,Rems-Murr-Kreis,2020-03-03,10,0.0615,0.0599,0.0689
4117,DE116,Rems-Murr-Kreis,2020-03-04,10,0.0786,0.0599,0.0689
4118,DE116,Rems-Murr-Kreis,2020-03-05,10,0.0671,0.0709,0.0689
4119,DE116,Rems-Murr-Kreis,2020-03-06,10,0.0615,0.0771,0.0689
4120,DE116,Rems-Murr-Kreis,2020-03-07,10,0.0454,0.0715,0.0689
4121,DE116,Rems-Murr-Kreis,2020-03-08,10,0.1178,0.0703,0.0689
4122,DE116,Rems-Murr-Kreis,2020-03-09,11,0.1079,0.0715,0.0547
4123,DE116,Rems-Murr-Kreis,2020-03-10,11,0.0224,0.0741,0.0547
4124,DE116,Rems-Murr-Kreis,2020-03-11,11,0.0703,0.0639,0.0547
4125,DE116,Rems-Murr-Kreis,2020-03-12,11,0.0751,0.0527,0.0547
4126,DE116,Rems-Murr-Kreis,2020-03-13,11,0.0796,0.0462,0.0547
4127,DE116,Rems-Murr-Kreis,2020-03-14,11,-0.0256,0.0282,0.0547
4128,DE116,Rems-Murr-Kreis,2020-03-15,11,0.0391,0.0013,0.0547
4129,DE116,Rems-Murr-Kreis,2020-03-16,12,0.0625,-0.0321,-0.1684
4130,DE116,Rems-Murr-Kreis,2020-03-17,12,-0.1035,-0.0702,-0.1684
4131,DE116,Rems-Murr-Kreis,2020-03-18,12,-0.118,-0.1276,-0.1684
4132,DE116,Rems-Murr-Kreis,2020-03-19,12,-0.1589,-0.1784,-0.1684
4133,DE116,Rems-Murr-Kreis,2020-03-20,12,-0.1869,-0.2246,-0.1684
4134,DE116,Rems-Murr-Kreis,2020-03-21,12,-0.4277,-0.2498,-0.1684
4135,DE116,Rems-Murr-Kreis,2020-03-22,12,-0.3163,-0.2735,-0.1684
4136,DE116,Rems-Murr-Kreis,2020-03-23,13,-0.2606,-0.291,-0.2892
4137,DE116,Rems-Murr-Kreis,2020-03-24,13,-0.2801,-0.3005,-0.2892
4138,DE116,Rems-Murr-Kreis,2020-03-25,13,-0.2839,-0.2724,-0.2892
4139,DE116,Rems-Murr-Kreis,2020-03-26,13,-0.2812,-0.2985,-0.2892
